activity_uom,activity_value(uM),reference,gvk_id,sub_smiles,mol_weight,Comment,pLogS,smiles
uM,44.0,"J. Med. Chem., 1992, 35 (7), 1267-1272",135889,CCC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)N3C=CN=C3C,296.3238,uM,4.35654732351381,CCc1[nH]c(=O)[nH]c1C(=O)c1ccc(-n2ccnc2C)cc1
uM,25.0,"J. Med. Chem., 1992, 35 (7), 1267-1272",135894,CCC1=C(N(C(=O)CC2=CC=CC=C2)C(=O)N1)C(=O)C3=CC=C(C=C3)N4C=CN=C4C,414.4565,uM,4.60205999132796,CCc1[nH]c(=O)n(C(=O)Cc2ccccc2)c1C(=O)c1ccc(-n2ccnc2C)cc1
uM,10.0,"J. Med. Chem., 1992, 35 (7), 1267-1272",135893,CCC1=C(N(C(=O)N1)C(=O)C(C)C)C(=O)C2=CC=C(C=C2)N3C=CN=C3C,366.4137,uM,5.0,CCc1[nH]c(=O)n(C(=O)C(C)C)c1C(=O)c1ccc(-n2ccnc2C)cc1
uM,40.0,"J. Med. Chem., 1992, 35 (7), 1267-1272",135890,CCC1=C(N(C(C)=O)C(=O)N1)C(=O)C2=CC=C(C=C2)N3C=CN=C3C,338.3605,uM,4.39794000867204,CCc1[nH]c(=O)n(C(C)=O)c1C(=O)c1ccc(-n2ccnc2C)cc1
uM,400.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167675,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)C3=NC=CC=C3,791.9791,uM,3.39794000867204,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC(N)c1ccccn1
uM,1800.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167686,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC3=CC(OCC(O)=O)=CC=C3,835.9853,uM,2.74472749489669,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1cccc(OCC(=O)O)c1
uM,20.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167668,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NC(CC3=CC=CC=C3)C(N)=O,819.0012,uM,4.69897000433602,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NC(Cc1ccccc1)C(N)=O
uM,10.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167669,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)N3CCN(CC3)CC4=CC=CC=C4,831.0549,uM,5.0,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)N1CCN(Cc2ccccc2)CC1
uM,180.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167671,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC3=NC=CC=C3,762.9379,uM,3.74472749489669,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1ccccn1
uM,340.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167672,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC3=CC=NC=C3,762.9379,uM,3.46852108295774,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1ccncc1
uM,10.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167673,CC(C)C[C@H](NC(=O)CC(O)C(CC1CCCCC1)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OC(C)(C)C)C(=O)NCC4=CC=NC=C4,803.0018,uM,5.0,CC(C)C[C@H](NC(=O)CC(O)C(CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1
uM,4200.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167674,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC3=CC=[N+]([O-])C=C3,778.9373,uM,2.3767507096021,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1cc[n+]([O-])cc1
uM,10.0,"J. Med. Chem., 1988, 31 (10), 1918-1923",167670,CC(C)CC(NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCC3=CC=CC=C3,761.9499,uM,5.0,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1ccccc1
