smiles,pLogS
COc1ccc2[nH]c(C(=O)N3CC(=O)N(Cc4ccccc4)[C@@H](CN4CCC5CC54)C3)cc2c1,4.75696195131371
CCOC(=O)c1c2ccccc2nn1Cc1ccc(Cl)cc1,6.0
CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Oc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,8.87600107288159
COc1cc(/C=C/C(=O)NCCn2c(C)c(CN3CCCCC3)c3ccccc32)cc(OC)c1OC,4.1249387366083
CCS(=O)(=O)c1ccccc1C(=O)N1CCN(c2nc3ccccc3o2)CC1,3.60205999132796
O=C(Nc1ccc(I)cc1C(=O)O)c1ccc(Cl)c(Cl)c1,3.69897000433602
CC(C)OC(=O)C1=CN(C(=O)C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)CC(C)(C)c2c1[nH]c1ccccc21,8.0
COc1cc(C2CN(C(=O)c3cc(COCC(CO)CO)ccn3)C2)ccc1OCc1ccc(C2CC2)cc1,5.32790214206428
CCOc1cc(C2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(Cc1cc(C)cs1)[C@H](CC)C(=O)N2C,4.04575749056067
Cc1ccc(C2=CCC(C)(C)c3ccc(C(=O)Nc4ccc(C(=O)O)cc4)cc32)cc1,3.86646109162978
COc1ccc2[nH]c(C(=O)N3CC(=O)N(Cc4ccccc4)[C@@H](Cc4ccccc4)C3)cc2c1,4.44009337496389
C[C@@H]1Cc2c([nH]c3ccc(F)cc23)[C@@H](c2c(F)cnc(OCCN(C)CCCF)c2F)N1CC(F)(F)CO,4.09366495819491
O=C(c1ccccc1F)N1CCn2c(nnc2-c2ccccn2)C1,3.69897000433602
CC(C)Cc1cc(C(=O)N[C@H]2COc3ccccc3N(C)C2=O)no1,3.59859945921846
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC1(F)CC1,3.73048705578208
COc1ccc2[nH]c(C(=O)N3CC(=O)N(Cc4ccccc4)[C@@H](N4CCc5ccccc54)C3)cc2c1,5.15490195998574
CC(C)C[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H]2CCCN2[C@@H](C(=O)NC(C)(C)C)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,3.52287874528034
Cc1ccnc(COc2ccc(C)nc2-c2ccc3c(c2)CCNCC3)c1,9.3709640926901
CCN(CC)CCCNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)csc12,4.15027355580367
Cc1cc(NC(=O)Nc2ccc(C(=O)O)c(O)c2)c2ccccc2n1,4.57511836336893
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3.60822650994707
O=C(NC1CCN(Cc2ccccc2)CC1)C12CC3CC(C1)CC(c1ccccc1)(C3)C2,4.0
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC1=O,3.99701414006348
COc1cccc(CN2C(=O)CN(C(=O)c3ccc(NS(C)(=O)=O)cc3)C[C@@H]2Cc2ccccc2)c1,4.0
COc1cc2c(cc1OC)C(=O)C(CC1C=CN(Cc3ccccc3C)C=C1C(C)=O)C2,5.0
O=C(COc1ccc(-c2cccc(Cl)c2)cc1)Cn1ccc2cc(C(=O)O)ccc21,11.1459801435692
COCc1cc(-c2nnc3c4ccccc4c(OCc4ccc(C(=O)N5CC(C)OC(C)C5)cn4)nn23)no1,9.85134053294108
CN(C)c1ccc(/C=C2/SC(Nc3ccc(Oc4ccccc4)cc3)=NC2=O)cc1,13.6185783446924
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,4.13667713987954
O=C1C(=O)N(c2ccccc2F)C(=O)N1CC12CC3CC(CC(C3)C1)C2,3.45593195564972
CNc1nc(SC)nc2ccsc12,3.35753547975788
Cc1cc2ccccc2n1CCNC(=O)c1ccc(-c2cc[nH]n2)cc1,7.0
COc1cccc(-c2ccc(CN([C@@H](C)C(=O)N[C@H](C#N)CC(N)=O)S(C)(=O)=O)cc2)c1,3.71444269099223
O=C(NCc1cn(-c2ccc(O)c(F)c2)nn1)c1cc2ccccc2[nH]1,10.1655095565972
CN1CCN(S(=O)(=O)c2ccc(CNC(=O)N3Cc4ccncc4C3)cc2)CC1,3.79588001734408
O=C(Nc1ccn2cc(-c3cccc(F)c3)nc2c1)N1CC[C@H](F)C1,4.30364361126667
Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)n1,4.03151705144607
O=C(COc1ccccc1-c1ccccc1)Cn1ccc2cc(C(=O)O)ccc21,10.2637059377771
COc1ccc2[nH]c(C(=O)N3CC(=O)N(Cc4c[nH]c5ccccc45)[C@@H](Cc4ccccc4)C3)cc2c1,4.98716277529483
O=C(NO)c1cc(F)c2c(c1)CN1CCCC[C@@H]1C2,2.90097232691953
CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H]1O,3.69897000433602
CCN1CCN(C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CC1,10.417908718662
CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1cc(OC(=O)OC(C)(C)C)ccc21,5.0
O=c1cc(-c2cccc3c2Sc2ccc(OCCN4CCC(F)(F)C4)cc2C3)oc(N2CCOCC2)c1,11.24435547646
O=C(Nc1sc2c(c1C(=O)O)CCCCC2)c1ccco1,3.09691001300806
CN1CCN(c2ccc(/C=C3/SC(N(c4ccccc4)c4ccccc4)=NC3=O)cc2)CC1,12.6162243267213
Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn(C)c3C(=O)NOC(C)(C)C)cc2)n[nH]1,3.68193666503724
C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(OCCNCCCF)cc2)N1CC1(F)CC1,3.91364016932525
COc1ccc2[nH]c(-c3nc(NCCCCN4CCCC4)c4ccccc4n3)c(C=O)c2c1,9.78182960082282
CC(C)c1nc(CN(C)C(=O)NCCC(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,10.5184456255608
Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccc([N+](=O)[O-])cc3)C1=N2,4.49894073778225
O=C1/C(=C/c2c[nH]c3nc(Cl)ccc23)Oc2c1ccc(O)c2CN1CCNCC1,3.88605664769316
COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)nc(C)nc2cc1O,4.33724216831843
CC[C@H](C)Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n3n2CCC3)n1,8.90240496115167
CC1(C)CC(=O)C2=C(C1)Nc1nn(-c3ccccc3)c(O)c1C2c1ccccc1Cl,3.92081875395238
